demographic_type,subgroup,support,positive_base_rate,precision,recall,f1,small_sample_support_lt_100
race,AfricanAmerican,2785,0.10700179533213644,0.1704946996466431,0.6476510067114094,0.2699300699300699,
race,Asian,117,0.1794871794871795,0.3235294117647059,0.5238095238095238,0.4,
race,Caucasian,11221,0.1130915248195348,0.171238570241064,0.6493301812450749,0.27100805788521626,
race,Hispanic,282,0.11347517730496454,0.25,0.59375,0.35185185185185186,
race,Other,242,0.11570247933884298,0.23880597014925373,0.5714285714285714,0.3368421052631579,
race,Unknown,350,0.10285714285714286,0.18888888888888888,0.4722222222222222,0.2698412698412698,
gender,Female,8006,0.11254059455408444,0.17711738484398218,0.6614872364039955,0.27941865916549463,
gender,Male,6991,0.11200114432842226,0.17006324666198172,0.6181353767560664,0.2667401488013227,
age,[0-10),26,0.038461538461538464,0.0,0.0,0.0,True
age,[10-20),79,0.02531645569620253,0.1,1.0,0.18181818181818182,True
age,[20-30),232,0.10775862068965517,0.2631578947368421,0.6,0.36585365853658536,False
age,[30-40),533,0.10318949343339587,0.22807017543859648,0.7090909090909091,0.34513274336283184,False
age,[40-50),1482,0.10526315789473684,0.19456066945606695,0.5961538461538461,0.29337539432176657,False
age,[50-60),2592,0.09606481481481481,0.17765814266487215,0.5301204819277109,0.2661290322580645,False
age,[60-70),3415,0.10980966325036604,0.16619718309859155,0.6293333333333333,0.26295264623955433,False
age,[70-80),3710,0.1215633423180593,0.1729490022172949,0.6917960088691796,0.27671840354767185,False
age,[80-90),2532,0.1259873617693523,0.16567607726597325,0.6990595611285266,0.26786786786786787,False
age,[90-100),396,0.12878787878787878,0.16279069767441862,0.5490196078431373,0.25112107623318386,False
